Province/State,Country/Region,Lat,Long,Dia-90,Dia-89,Dia-88,Dia-87,Dia-86,Dia-85,Dia-84,Dia-83,Dia-82,Dia-81,Dia-80,Dia-79,Dia-78,Dia-77,Dia-76,Dia-75,Dia-74,Dia-73,Dia-72,Dia-71,Dia-70,Dia-69,Dia-68,Dia-67,Dia-66,Dia-65,Dia-64,Dia-63,Dia-62,Dia-61,Dia-60,Dia-59,Dia-58,Dia-57,Dia-56,Dia-55,Dia-54,Dia-53,Dia-52,Dia-51,Dia-50,Dia-49,Dia-48,Dia-47,Dia-46,Dia-45,Dia-44,Dia-43,Dia-42,Dia-41,Dia-40,Dia-39,Dia-38,Dia-37,Dia-36,Dia-35,Dia-34,Dia-33,Dia-32,Dia-31,Dia-30,Dia-29,Dia-28,Dia-27,Dia-26,Dia-25,Dia-24,Dia-23,Dia-22,Dia-21,Dia-20,Dia-19,Dia-18,Dia-17,Dia-16,Dia-15,Dia-14,Dia-13,Dia-12,Dia-11,Dia-10,Dia-9,Dia-8,Dia-7,Dia-6,Dia-5,Dia-4,Dia-3,Dia-2,Dia-1,Clase
,Burundi,-33.731,299.189,5348,5348,5348,5423,5428,5452,5482,5494,5494,5494,5521,5535,5559,5585,5608,5608,5608,5686,5706,5723,5764,5802,5802,5802,5894,5942,5996,6018,6128,6128,6128,6573,6573,6715,6865,7080,7080,7080,7505,7518,7518,7714,8088,8088,8088,8800,8800,9175,9408,9620,9620,9620,10103,10198,10198,10198,10791,10791,10791,10791,10791,11381,11599,11818,11994,11994,11994,11994,12585,12585,12585,12585,12585,12585,12585,12585,12585,14047,14047,14047,14189,14189,14189,14189,14189,14189,14189,14189,14189,16356,16356
,Cabo Verde,165.388,-230.418,32313,32344,32372,32399,32457,32457,32594,32666,32705,32735,32745,32788,32827,32883,32928,32969,33006,33026,33053,33127,33180,33234,33270,33302,33317,33356,33395,33452,33452,33541,33577,33592,33626,33682,33721,33763,33791,33822,33830,33858,33906,33941,33976,34010,34052,34078,34112,34171,34235,34286,34344,34397,34407,34445,34529,34598,34645,34686,34738,34773,34825,34919,34992,35079,35147,35227,35283,35354,35506,35624,35739,35739,35928,36012,36086,36202,36327,36427,36519,36588,36640,36694,36816,36891,36970,36970,37108,37157,37179,37240,37290
,Cambodia,11.55,1.049.167,46065,46810,47649,48532,49255,50385,51384,52350,53298,54291,55187,56122,57103,58057,59045,59978,60959,61870,62700,63615,64611,65500,66336,67181,67971,68796,69608,70419,71244,72104,72923,73701,74386,75152,75917,76585,77243,77914,78474,79051,79634,80225,80813,81335,81891,82399,82898,83384,83839,84262,84860,85448,86041,86597,87190,87723,88242,88735,89231,89641,90107,90535,90958,91369,91770,92208,92616,93055,93510,93926,94417,94839,95300,95828,96339,96935,97524,98184,98842,99504,100133,100790,101443,102136,102834,103482,104094,104716,105344,105981,106619
,Cameroon,3.848,115.021,80487,80487,80487,80487,80858,80858,80858,80858,80858,80858,80858,80858,80858,80858,80858,80858,80858,80858,80858,80858,80858,81467,81467,81467,81467,81467,81467,81871,82003,82003,82003,82064,82064,82064,82064,82064,82064,82064,82064,82064,82064,82064,82064,82064,82064,82064,82064,82454,82454,82454,82454,82454,82454,82454,82454,82454,82454,82454,82454,82454,82454,82454,83425,83425,83425,83425,83425,83425,84210,84210,84210,84210,84210,84210,84210,84210,84210,84210,84210,84210,84210,84210,85414,85414,85414,85414,85414,85414,85414,85414,85414
Alberta,Canada,539.333,-1.165.765,231641,231641,231641,231850,231911,231987,231987,232097,232097,232097,232236,232269,232336,232359,232411,232411,232411,232501,232536,232582,232635,232676,232676,232676,232806,232875,232956,233062,233160,233160,233160,233547,233681,233875,234108,234295,234295,234295,234295,235038,235244,235641,236010,236010,236010,237027,237306,237807,238357,238939,238939,238939,240346,240753,241431,242248,242997,242997,242997,244969,245598,246674,247786,248954,248954,248954,252010,252930,254245,255584,256985,256985,256985,256985,261888,263054,264564,266037,266037,266037,270777,272211,273820,275538,277558,277558,277558,282191,283710,285046,286706
British Columbia,Canada,537.267,-1.276.476,147418,147418,147418,147549,147578,147621,147621,147705,147705,147705,147790,147797,147856,147919,148031,148031,148031,148154,148187,148228,148286,148331,148331,148331,148487,148563,148641,148730,148842,148842,148842,149109,149259,149444,149646,149889,149889,149889,149889,150631,150973,151375,151839,151839,151839,152918,153313,153849,154362,155079,155079,155079,156513,157014,157567,158256,158919,158919,158919,160630,161271,161969,162693,163560,163560,163560,165413,166068,166853,167654,168325,168325,168325,168325,170750,171564,172338,173158,173158,173158,175142,175819,176480,177186,177954,177954,177954,179653,180178,180937,181798
Diamond Princess,Canada,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Princess,Canada,0.0,0.0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Manitoba,Canada,537.609,-988.139,55777,55879,55975,56036,56097,56167,56167,56306,56353,56417,56482,56516,56586,56667,56739,56826,56889,56920,56943,56987,57028,57065,57126,57168,57204,57236,57269,57322,57359,57417,57446,57456,57476,57502,57548,57593,57593,57593,57593,57691,57706,57739,57764,57764,57764,57860,57891,57923,57951,57972,57972,57972,58049,58071,58108,58134,58176,58176,58176,58283,58322,58425,58479,58506,58506,58506,58681,58710,58759,58793,58845,58845,58845,58845,59000,59052,59100,59203,59203,59203,59368,59420,59466,59526,59612,59612,59612,59759,59822,59880,59944
New Brunswick,Canada,465.653,-664.619,2323,2324,2325,2326,2329,2332,2332,2336,2336,2337,2338,2336,2336,2336,2336,2336,2336,2336,2336,2336,2343,2345,2345,2346,2346,2346,2346,2347,2350,2350,2350,2351,2352,2354,2358,2365,2365,2383,2383,2394,2396,2409,2414,2414,2434,2439,2447,2460,2471,2490,2490,2490,2530,2543,2559,2582,2614,2614,2614,2672,2687,2697,2705,2721,2721,2721,2760,2763,2774,2784,2798,2798,2798,2798,2852,2868,2885,2909,2909,2909,3031,3066,3129,3180,3237,3237,3237,3436,3501,3577,3629
Newfoundland and Labrador,Canada,531.355,-576.604,1384,1384,1384,1385,1385,1386,1386,1387,1387,1387,1400,1400,1400,1400,1402,1402,1402,1402,1407,1410,1433,1433,1433,1433,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1440,1440,1441,1441,1443,1443,1443,1443,1443,1443,1443,1447,1447,1447,1450,1450,1456,1456,1458,1458,1458,1460,1460,1462,1462,1469,1469,1469,1478,1478,1486,1486,1491,1491,1491,1506,1511,1520,1520,1532,1532,1532,1541,1541,1551,1551,1555,1555,1555,1570,1586,1609,1609
Northwest Territories,Canada,648.255,-1.248.457,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,129,129,130,130,130,130,130,131,131,131,131,131,131,202,250,259,328,328,328,351,358,368,395,400,400,400,452,461,475,486,499,499,499,499,499,522,563,591,591,591,647,647,679,724,720,749,749,749,834,852,882
Nova Scotia,Canada,44.682,-637.443,5814,5825,5828,5831,5832,5836,5840,5842,5850,5853,5854,5861,5862,5864,5865,5866,5870,5871,5870,5870,5870,5870,5870,5873,5873,5873,5880,5880,5882,5882,5882,5883,5885,5885,5886,5887,5887,5887,5887,5893,5895,5899,5900,5900,5900,5907,5908,5911,5918,5920,5920,5920,5928,5929,5938,5946,5956,5956,5956,5956,5982,5989,5990,5999,5999,5999,6030,6031,6038,6042,6047,6047,6047,6047,6076,6090,6107,6117,6117,6117,6188,6254,6260,6294,6312,6312,6312,6367,6392,6411,6452
Nunavut,Canada,702.998,-831.076,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,658,658,658,658,658,658,658,658,658,658,659,659,659,659,659,659,659,661,661,661,663
Ontario,Canada,512.538,-853.232,551136,551394,551595,552006,552180,552415,552476,552857,553033,553180,553551,553651,553876,554104,554297,554424,554546,554730,554866,555016,555146,555332,555449,555589,555803,555927,556082,556282,556462,556560,556669,556930,557046,557237,557466,557703,557866,558007,558036,558466,558626,558918,559293,559504,559711,560401,560717,561132,561647,562069,562376,562656,563739,564135,564569,565336,565993,566296,566769,567937,568127,569163,569894,570699,571202,571789,572856,573456,574205,575037,575888,576512,577078,577182,578708,579313,580184,581001,581573,582173,583202,583808,584531,585365,586189,586692,587229,588244,588675,589381,590079
Prince Edward Island,Canada,465.107,-634.168,206,206,206,206,207,207,207,207,207,207,207,207,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,212,212,212,212,214,214,214,214,214,214,214,220,220,220,220,220,220,224,224,224,224,230,230,230,230,230,233,233,233,233,233,233,235,235,235,235,235,235,252,252,252,252,270,270,270,284,284,284,284
Quebec,Canada,529.399,-735.491,374793,374872,374921,375018,375123,375197,375276,375342,375404,375444,375522,375609,375678,375751,375823,375883,375937,375997,376077,376109,376149,376192,376289,376370,376431,376416,376519,376429,376530,376651,376753,376828,376901,377034,377172,377297,377486,377644,377798,377973,378157,378462,378680,378915,379189,379439,379673,380038,380407,380833,381266,381587,381996,382319,382755,383191,383718,384281,384744,385120,385465,386015,386618,387230,387834,388413,388799,389224,389914,390613,391363,392029,392807,393337,393852,394452,395155,396034,396034,397786,398425,399058,399843,400625,401462,402283,403025,403704,404291,404974,405728
Repatriated Travellers,Canada,,,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Saskatchewan,Canada,529.399,-1.064.509,48646,48706,48754,48771,48823,48854,48861,48882,48931,48958,48978,48992,49039,49152,49198,49240,49260,49279,49304,49322,49341,49362,49397,49433,49450,49472,49525,49556,49608,49656,49683,49727,49765,49830,49882,49940,50024,50067,50096,50120,50181,50251,50338,50477,50558,50614,50679,50771,50912,51034,51162,51305,51390,51499,51630,51821,52065,52252,52472,52472,52800,52845,53004,53262,53617,53875,54076,54367,54688,54953,55396,55750,56139,56533,56838,57243,57521,57952,58293,58715,59165,59673,60149,60589,61065,61558,62101,62620,62989,63415,63875
Yukon,Canada,642.823,-135.0,242,264,264,264,342,357,357,388,388,388,425,435,447,456,461,461,461,480,484,490,497,502,502,502,522,527,534,542,551,551,551,579,582,582,589,596,596,596,596,610,616,623,624,624,624,633,636,638,645,647,647,647,647,660,668,671,674,674,674,681,683,683,684,684,684,684,689,691,693,694,694,694,694,694,696,697,699,701,701,701,706,709,712,713,716,716,716,725,725,736,738
,Central African Republic,66.111,209.394,7139,7139,7139,7141,7141,7141,7141,7141,7141,7141,7141,7141,7141,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7142,7147,7147,7147,7147,7147,7147,7148,7148,7148,7151,7151,7151,7151,7151,7151,7151,7151,7151,7151,7151,7151,11195,11195,11195,11195,11251,11251,11251,11251,11251,11251,11251,11251,11251,11270,11270,11270,11270,11270,11270,11270,11270,11296,11296,11296,11296,11296,11296,11296,11296,11296,11309,11309,11309,11309,11309,11309,11309,11309,11309,11309,11309,11340,11340,11340,11340
,Chad,154.542,187.322,4951,4951,4951,4951,4951,4951,4951,4951,4951,4951,4952,4952,4952,4953,4953,4954,4954,4954,4954,4955,4959,4964,4964,4964,4964,4965,4965,4965,4967,4969,4969,4969,4971,4972,4972,4973,4973,4973,4973,4973,4974,4976,4977,4977,4978,4980,4981,4981,4981,4981,4982,4982,4984,4984,4984,4984,4985,4985,4985,4987,4987,4987,4989,4989,4990,4991,4991,4992,4994,4994,4995,4995,4996,4996,4996,5011,5011,5012,5014,5016,5017,5019,5021,5021,5025,5026,5029,5029,5029,5030,5031
,Chile,-356.751,-71.543,1537471,1542642,1547103,1551137,1553774,1555902,1558557,1562613,1566461,1569784,1572608,1574465,1576336,1579591,1582391,1585160,1587478,1589623,1590887,1592130,1594496,1596549,1598481,1599879,1600883,1601858,1602854,1604713,1606358,1607749,1609177,1610345,1611090,1611917,1613288,1614629,1615771,1616942,1617852,1618457,1619183,1620389,1621571,1622509,1623363,1624316,1624823,1625467,1626595,1627428,1628293,1629192,1629932,1630330,1630831,1631689,1632441,1633153,1633816,1634394,1634774,1635173,1635958,1636627,1637234,1637829,1638330,1638675,1639123,1639698,1640192,1640666,1641091,1641526,1641791,1642146,1642646,1643156,1643630,1644071,1644540,1644832,1645233,1645820,1646403,1646994,1647469,1647746,1648026,1648550,1649409
Anhui,China,318.257,1.172.264,1004,1004,1004,1006,1006,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008
Beijing,China,401.824,1.164.142,1076,1077,1079,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1079,1079,1079,1079,1079,1083,1084,1085,1085,1085,1085,1085,1085,1086,1086,1087,1088,1089,1089,1089,1095,1096,1096,1099,1099,1099,1099,1102,1102,1103,1103,1103,1103,1103,1105,1105,1107,1108,1110,1112,1113,1115,1115,1115,1115,1115,1115,1115,1115,1116,1117,1117,1117,1117,1118,1118,1118,1118,1118,1118,1118,1118,1118,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119
Chongqing,China,300.572,107.874,598,598,598,598,598,598,598,598,598,598,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,601,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603,603
Fujian,China,260.789,1.179.874,665,669,672,675,677,680,685,686,688,688,689,690,692,692,692,692,696,698,699,700,700,704,708,709,710,710,711,711,715,719,724,724,727,730,733,736,737,741,743,748,751,751,751,751,751,754,754,755,755,766,767,771,771,773,777,779,780,780,780,782,782,783,783,784,785,786,788,789,790,790,792,792,793,797,797,799,800,803,824,846,906,957,1005,1066,1097,1140,1169,1213,1228,1248,1264
Gansu,China,357.518,1.042.861,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,196,196,196,197,197,197,198,198,198,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199
Guangdong,China,233.417,1.134.244,2727,2728,2733,2736,2737,2737,2745,2748,2751,2756,2759,2764,2766,2769,2770,2770,2774,2777,2779,2791,2795,2796,2800,2808,2812,2812,2820,2834,2839,2845,2853,2866,2869,2872,2881,2882,2884,2886,2892,2894,2896,2909,2912,2915,2923,2931,2933,2938,2947,2950,2963,2968,2977,2978,2988,2997,3001,3007,3012,3020,3023,3032,3040,3043,3046,3055,3059,3065,3074,3079,3083,3087,3094,3096,3100,3104,3109,3111,3117,3120,3128,3132,3135,3137,3140,3142,3142,3145,3147,3149,3150
Guangxi,China,238.298,1.087.881,275,275,275,275,275,275,275,275,276,276,276,276,276,276,276,276,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,280,287,287,287,287,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289,290,290,290,290,290,291,291,291,291,292,292,292,292,292,292,292,292,292,295,297,297,297,297,297
Guizhou,China,268.154,1.068.748,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147
Hainan,China,191.959,1.097.453,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,189,189,189,189,189,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
Hebei,China,39.549,1.161.306,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317
Heilongjiang,China,47.862,1.277.615,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1612,1613,1613,1613,1613,1614,1614,1614,1614,1614,1614,1614,1615,1615,1615,1615,1615,1615,1615,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1618,1621,1629,1644
Henan,China,378.957,1.149.042,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1318,1320,1320,1320,1320,1321,1324,1324,1324,1325,1325,1325,1326,1326,1326,1326,1326,1327,1328,1330,1330,1330,1331,1331,1331,1345,1347,1349,1352,1355,1356,1360,1384,1425,1462,1469,1472,1503,1507,1512,1518,1518,1518,1519,1521,1521,1522,1523,1524,1525,1525,1527,1528,1528,1528,1528,1528,1528,1530,1531,1531,1532,1532,1532,1532,1532,1535,1536,1536,1536,1537,1537,1539,1539,1539,1539,1539,1539,1539,1539
Hong Kong,China,22.3,114.2,11909,11911,11917,11920,11921,11923,11927,11938,11939,11942,11943,11944,11945,11948,11949,11950,11951,11951,11952,11955,11955,11956,11956,11958,11958,11965,11970,11971,11973,11975,11978,11978,11979,11980,11982,11984,11984,11987,11990,11994,11996,12002,12004,12011,12013,12015,12019,12020,12025,12030,12032,12033,12036,12039,12042,12047,12049,12052,12057,12062,12069,12074,12077,12094,12100,12107,12110,12112,12113,12113,12112,12113,12121,12123,12129,12131,12133,12138,12142,12145,12146,12148,12149,12149,12152,12157,12160,12165,12166,12167,12169
Hubei,China,309.756,1.122.707,68160,68160,68160,68160,68162,68162,68162,68162,68162,68162,68162,68187,68187,68187,68187,68187,68187,68188,68188,68188,68188,68188,68189,68189,68192,68192,68192,68193,68194,68194,68194,68194,68195,68195,68195,68195,68196,68198,68201,68210,68211,68217,68226,68232,68235,68250,68264,68274,68278,68282,68282,68282,68285,68286,68286,68286,68287,68289,68289,68289,68289,68289,68290,68290,68290,68290,68290,68290,68291,68291,68291,68291,68291,68291,68291,68292,68292,68292,68292,68292,68292,68292,68292,68292,68292,68295,68295,68295,68295,68297,68297
Hunan,China,276.104,1.117.088,1054,1054,1056,1056,1057,1057,1057,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1063,1063,1063,1063,1068,1068,1068,1068,1068,1069,1069,1069,1071,1071,1071,1071,1071,1073,1079,1083,1090,1096,1111,1120,1129,1138,1144,1156,1162,1167,1174,1176,1179,1180,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181
Inner Mongolia,China,440.935,1.139.448,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,397,397,397,397,397,397,398,399,399,399,399,399,399,401,403,403,403,403,403,403,405,408,408,408,408,409,409,409,410,410,410,410,410,410,410,410,410,410,411,411,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,414,414,414,414,414,414,414,416,416,416,416,416,416,416,416,416,416,416,416,416
Jiangsu,China,329.711,119.455,742,742,742,742,742,742,743,743,743,743,743,744,744,744,744,744,745,747,748,748,750,750,751,751,751,751,764,776,788,790,829,863,911,931,949,968,998,1041,1088,1126,1166,1227,1281,1319,1357,1407,1461,1499,1525,1543,1561,1567,1570,1576,1579,1582,1583,1584,1584,1584,1586,1586,1587,1587,1589,1589,1589,1589,1590,1590,1591,1591,1591,1591,1591,1591,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1595,1595,1595,1595
Jiangxi,China,27.614,1.157.221,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937,937
Jilin,China,436.661,1.261.923,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574,574
Liaoning,China,412.956,1.226.085,427,427,427,427,427,427,428,428,429,429,430,430,430,430,430,430,430,430,431,431,431,431,431,431,431,431,431,431,431,432,433,433,435,435,436,437,437,437,437,438,438,438,438,438,438,438,438,438,439,440,440,441,441,441,441,443,443,443,443,443,443,444,445,446,446,446,446,446,446,446,446,446,446,448,448,448,448,448,449,449,449,449,449,449,450,450,450,450,450,451,451
Macau,China,221.667,113.55,53,53,53,54,54,54,54,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56,56,56,58,59,59,59,59,59,59,59,59,59,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
Ningxia,China,372.692,1.061.655,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
Qinghai,China,357.452,959.956,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Shaanxi,China,351.917,1.088.701,624,624,624,626,626,627,627,628,628,629,629,631,631,631,634,634,635,636,637,637,638,640,642,645,645,645,653,655,655,655,655,655,656,656,656,656,656,659,661,661,661,663,663,663,664,665,665,665,666,667,667,667,668,668,668,668,668,668,668,669,669,669,669,669,669,669,669,669,669,670,670,670,670,670,670,670,670,670,670,671,671,671,671,671,671,671,671,671,671,671,671
Shandong,China,363.427,1.181.498,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,883,884,884,885,885,886,889,890,896,900,908,908,908,908,908,909,909,910,914,917,922,923,923,923,923,923,923,923,923,923,923,923,923,923,924,925,925,925,925,925,925,925,926,926,926,927,927,927,927,928,928,929,929,929,929,930,930,930,930,930
Shanghai,China,31.202,1.214.491,2199,2200,2201,2202,2202,2204,2207,2211,2212,2218,2222,2226,2234,2237,2243,2243,2247,2252,2257,2257,2263,2266,2267,2271,2274,2274,2278,2281,2283,2287,2287,2291,2292,2292,2299,2307,2312,2314,2318,2320,2329,2337,2346,2352,2360,2369,2373,2378,2383,2388,2394,2396,2403,2408,2414,2416,2420,2432,2436,2445,2451,2454,2462,2466,2471,2476,2480,2483,2489,2497,2505,2514,2516,2520,2526,2528,2532,2534,2537,2542,2548,2550,2552,2553,2555,2557,2561,2567,2573,2575,2584
Shanxi,China,375.777,1.122.922,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,254,254,254,254,254,254,254,254,254,254,254,254,255,255,255,255,255,255,255,256,256,256,256,256,258,258,259,259,259,259,259,259,259,259,259,259,259,259,260,260,260,260,260,260,260,260,260,260,260,260,260,260
Sichuan,China,306.171,1.027.103,1090,1091,1095,1097,1098,1100,1100,1106,1107,1109,1109,1110,1111,1111,1114,1114,1118,1119,1120,1121,1122,1122,1125,1125,1126,1126,1132,1134,1138,1139,1139,1140,1145,1149,1150,1151,1152,1154,1157,1158,1158,1160,1162,1164,1165,1168,1171,1172,1174,1178,1178,1178,1179,1179,1180,1181,1181,1182,1183,1185,1185,1185,1186,1187,1188,1188,1190,1190,1190,1191,1191,1192,1194,1194,1194,1195,1195,1196,1196,1197,1199,1199,1201,1201,1201,1204,1206,1206,1207,1207,1207
Tianjin,China,393.054,117.323,400,401,401,401,401,401,401,401,402,402,402,404,404,404,406,406,406,407,408,408,412,412,412,412,415,415,415,416,417,418,418,418,419,419,419,422,425,425,428,429,429,430,435,435,435,435,436,436,436,438,441,442,442,445,456,457,458,459,462,463,464,465,466,466,470,472,473,475,475,475,476,478,478,478,478,478,478,478,479,479,479,480,480,480,480,481,481,481,481,484,484
Tibet,China,316.927,880.924,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Unknown,China,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
