Province/State,Country/Region,Lat,Long,Dia-90,Dia-89,Dia-88,Dia-87,Dia-86,Dia-85,Dia-84,Dia-83,Dia-82,Dia-81,Dia-80,Dia-79,Dia-78,Dia-77,Dia-76,Dia-75,Dia-74,Dia-73,Dia-72,Dia-71,Dia-70,Dia-69,Dia-68,Dia-67,Dia-66,Dia-65,Dia-64,Dia-63,Dia-62,Dia-61,Dia-60,Dia-59,Dia-58,Dia-57,Dia-56,Dia-55,Dia-54,Dia-53,Dia-52,Dia-51,Dia-50,Dia-49,Dia-48,Dia-47,Dia-46,Dia-45,Dia-44,Dia-43,Dia-42,Dia-41,Dia-40,Dia-39,Dia-38,Dia-37,Dia-36,Dia-35,Dia-34,Dia-33,Dia-32,Dia-31,Dia-30,Dia-29,Dia-28,Dia-27,Dia-26,Dia-25,Dia-24,Dia-23,Dia-22,Dia-21,Dia-20,Dia-19,Dia-18,Dia-17,Dia-16,Dia-15,Dia-14,Dia-13,Dia-12,Dia-11,Dia-10,Dia-9,Dia-8,Dia-7,Dia-6,Dia-5,Dia-4,Dia-3,Dia-2,Dia-1,Clase
Northern Territory,Australia,-124.634,1.308.456,178,181,181,184,184,185,185,185,185,185,185,185,185,186,188,188,188,189,189,189,190,191,191,191,191,191,191,191,191,192,192,192,192,197,197,197,199,200,200,198,198,198,199,199,199,199,199,199,199,199,199,200,200,200,200,200,200,200,200,200,200,200,201,201,202,201,202,202,202,202,202,202,202,203,203,203,203,203,203,203,203,203,204,204,204,204,206,206,206,208,208
Queensland,Australia,-274.698,1.530.251,1680,1683,1686,1690,1696,1700,1705,1714,1715,1723,1728,1729,1732,1732,1737,1738,1739,1742,1747,1752,1753,1754,1755,1757,1761,1761,1761,1764,1763,1770,1771,1770,1790,1791,1793,1800,1809,1824,1840,1859,1886,1896,1909,1918,1923,1926,1929,1940,1948,1955,1956,1955,1957,1961,1961,1962,1964,1964,1966,1972,1972,1972,1973,1977,1977,1979,1979,1980,1982,1982,1984,1985,1991,1991,1991,1992,1995,2002,2003,2007,2009,2010,2013,2014,2015,2015,2017,2018,2019,2021,2021
South Australia,Australia,-349.285,1.386.007,789,791,794,796,801,807,807,809,810,813,813,813,813,814,816,818,819,821,821,823,825,831,831,832,838,840,846,850,851,855,856,856,857,859,859,859,859,862,863,866,866,866,866,866,868,868,868,868,868,868,868,868,868,868,868,869,869,869,869,870,870,870,870,870,871,871,871,871,871,875,877,879,880,881,888,889,891,891,892,894,895,896,896,898,898,898,898,898,898,899,900
Tasmania,Australia,-428.821,1.473.272,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235
Victoria,Australia,-378.136,1.449.631,20706,20708,20708,20710,20712,20712,20715,20713,20714,20716,20718,20718,20718,20719,20722,20722,20722,20725,20727,20737,20748,20767,20785,20799,20813,20837,20865,20879,20891,20903,20914,20924,20932,20939,20942,20944,20948,20950,20955,20955,20961,20967,20997,21010,21021,21041,21061,21079,21098,21119,21144,21166,21191,21215,21271,21328,21389,21455,21526,21577,21618,21694,21772,21835,21926,21996,22071,22187,22361,22570,22759,22942,23188,23429,23641,23964,24297,24747,25128,25591,26036,26439,26942,27439,27968,28456,29008,29596,30216,30961,31679
Western Australia,Australia,-319.505,1.158.605,1021,1022,1023,1024,1025,1027,1028,1029,1029,1030,1032,1033,1033,1033,1033,1033,1036,1036,1036,1036,1036,1037,1037,1037,1038,1046,1048,1048,1048,1048,1048,1048,1050,1051,1057,1057,1057,1058,1058,1058,1058,1058,1059,1059,1059,1059,1059,1059,1059,1059,1059,1061,1061,1061,1062,1062,1063,1063,1063,1064,1064,1084,1084,1084,1086,1086,1086,1086,1086,1086,1086,1086,1086,1087,1087,1088,1088,1088,1089,1089,1089,1089,1089,1089,1092,1092,1093,1094,1094,1094,1094
,Austria,475.162,145.501,650016,650192,650261,650324,650353,650412,650474,650569,650662,650737,650817,650901,651008,651128,651291,651453,651612,651804,652022,652354,652660,653001,653412,653735,653998,654314,654745,655197,655589,655938,656270,656582,656949,657501,658004,658518,659056,659508,659872,660262,660854,661359,661922,662529,663082,663532,664133,665035,665885,666890,667841,668732,669506,670372,671593,672819,674077,675405,676526,677603,678605,680179,681617,683219,684541,685956,687076,688305,690153,691663,693416,695131,696905,697510,698948,701216,703572,705913,708173,710030,711573,713269,715893,718091,720455,722357,724035,725434,726674,728696,730403
,Azerbaijan,401.431,475.769,335741,335796,335836,335874,335961,336047,336122,336223,336318,336417,336479,336557,336684,336788,336962,337098,337254,337323,337456,337602,337801,337970,338183,338438,338586,338837,339062,339274,339645,340057,340443,340715,341183,341933,342548,343216,343849,344520,344951,345882,346878,348074,349316,350605,351825,352926,354662,357058,359732,361501,365009,368002,369853,373175,377304,380918,384886,388437,391506,394451,398034,401828,405542,409745,413986,417996,421103,424891,428736,432495,436257,439562,442872,445278,447725,447725,447725,455044,455044,455044,461249,463326,463326,467173,467173,467173,467173,473459,475053,476409,477587
,Bahamas,25.025.885,-78.035.889,12467,12467,12467,12467,12586,12586,12735,12735,12735,12735,12808,12889,12965,13024,13024,13024,13024,13024,13233,13274,13274,13404,13404,13404,13566,13604,13781,13781,13781,13781,13781,14252,14252,14457,14545,14677,14840,14840,14840,15011,15124,15191,15419,15419,15537,15794,15915,15915,16141,16141,16141,16141,16668,16668,16668,16848,16962,16962,16962,17386,17545,17615,17717,17940,17940,17940,18139,18139,18139,18576,18694,18694,18694,18853,19035,19035,19139,19275,19335,19335,19601,19601,19795,19795,20030,20030,20030,20215,20288,20288,20288
,Bahrain,260.275,50.55,264693,264995,265247,265477,265643,265827,265975,266140,266286,266426,266557,266685,266797,266919,267038,267112,267212,267324,267400,267505,267619,267727,267796,267882,267949,268027,268092,268225,268338,268413,268541,268626,268731,268846,268974,269080,269186,269303,269401,269495,269617,269737,269848,269949,270060,270161,270290,270451,270590,270692,270816,270919,271025,271130,271257,271353,271432,271534,271631,271715,271803,271933,272042,272148,272246,272341,272453,272540,272635,272709,272807,272916,273008,273113,273252,273366,273454,273542,273622,273743,273835,273916,273977,274041,274107,274179,274264,274383,274452,274524,274614
,Bangladesh,23.685,903.563,878804,883138,888406,896770,904436,913258,921559,930042,936256,944917,954881,966406,977568,989219,1000543,1009315,1021189,1034957,1047155,1059538,1071774,1083922,1092411,1103989,1117310,1128889,1136503,1140200,1146564,1153344,1164635,1179827,1194752,1210982,1226253,1240115,1249484,1264328,1280317,1296093,1309910,1322654,1335260,1343396,1353695,1365158,1376322,1386742,1396868,1405333,1412218,1418902,1425861,1433396,1440644,1447210,1453203,1457194,1461998,1467715,1472964,1477930,1482628,1486153,1489589,1493537,1497261,1500618,1503680,1507116,1510283,1512026,1514456,1517166,1519805,1522302,1524890,1527215,1528542,1530413,1532366,1534440,1536341,1538203,1540110,1541300,1542683,1544238,1545800,1547176,1548320
,Barbados,131.939,-595.432,4066,4074,4075,4077,4079,4081,4082,4082,4082,4086,4086,4096,4108,4119,4128,4136,4176,4186,4196,4213,4230,4241,4251,4258,4269,4292,4302,4319,4330,4339,4345,4353,4359,4364,4365,4379,4390,4407,4417,4422,4433,4443,4455,4455,4471,4480,4485,4496,4509,4515,4525,4525,4548,4581,4594,4609,4628,4628,4640,4652,4694,4720,4741,4789,4881,4931,4931,5032,5072,5152,5183,5248,5349,5417,5486,5573,5651,5759,5844,5906,5984,6053,6177,6248,6358,6358,6527,6631,6736,6904,7065
,Belarus,537.098,279.534,413952,414730,415339,415780,416275,417189,418212,419330,420406,421350,421964,422521,423519,424554,425804,426886,427906,428595,429181,430121,431112,432388,433409,434362,435020,435620,436595,437664,438767,439828,440708,441356,441881,442831,443864,445048,446040,446998,447754,448335,449302,450445,451740,452953,453932,454674,455281,456247,457422,458847,459998,461303,462197,462794,463855,465210,466948,468415,469717,470635,471495,472852,474403,476265,477901,479306,480364,481532,483231,485067,487017,488963,490926,492399,493818,495578,497420,499279,501166,503073,504961,506591,508514,510481,512460,514446,516428,518369,520286,522275,524248
,Belgium,508.333,4.469.936,1082476,1082476,1082476,1083478,1084550,1085131,1085885,1086508,1086508,1086508,1088363,1089105,1091095,1092477,1093700,1093700,1093700,1097029,1098332,1100616,1102069,1103413,1103413,1103413,1107208,1108675,1108675,1112161,1112161,1113465,1113465,1117697,1119030,1121089,1122951,1124715,1124715,1124715,1129018,1130758,1132934,1134907,1136726,1136726,1136726,1141379,1143127,1145736,1147855,1149869,1149869,1149869,1154879,1156620,1159366,1161558,1163726,1163726,1163726,1168602,1170213,1173108,1175575,1177909,1177909,1177909,1182810,1184664,1187506,1189710,1192008,1192008,1192008,1196656,1198503,1201056,1203326,1205516,1205516,1205516,1210381,1212106,1215114,1217473,1219814,1219814,1219814,1224885,1226682,1229236,1231523
,Belize,171.899,-884.976,13137,13137,13137,13189,13227,13251,13300,13343,13343,13343,13391,13409,13444,13476,13518,13518,13518,13561,13587,13613,13644,13683,13683,13683,13772,13816,13865,13893,13917,13917,13917,13983,13983,14069,14114,14163,14163,14163,14163,14284,14331,14382,14438,14438,14438,14499,14578,14672,14738,14847,14847,14847,15010,15108,15182,15334,15415,15415,15415,15556,15683,15793,15893,16012,16012,16012,16220,16353,16493,16612,16750,16750,16750,16950,17119,17251,17405,17405,17405,17405,17767,17967,18143,18334,18532,18532,18532,18902,18902,19185,19429
