Province/State,Country/Region,Lat,Long,Dia-610,Dia-609,Dia-608,Dia-607,Dia-606,Dia-605,Dia-604,Dia-603,Dia-602,Dia-601,Dia-600,Dia-599,Dia-598,Dia-597,Dia-596,Dia-595,Dia-594,Dia-593,Dia-592,Dia-591,Dia-590,Dia-589,Dia-588,Dia-587,Dia-586,Dia-585,Dia-584,Dia-583,Dia-582,Dia-581,Dia-580,Dia-579,Dia-578,Dia-577,Dia-576,Dia-575,Dia-574,Dia-573,Dia-572,Dia-571,Dia-570,Dia-569,Dia-568,Dia-567,Dia-566,Dia-565,Dia-564,Dia-563,Dia-562,Dia-561,Dia-560,Dia-559,Dia-558,Dia-557,Dia-556,Dia-555,Dia-554,Dia-553,Dia-552,Dia-551,Dia-550,Dia-549,Dia-548,Dia-547,Dia-546,Dia-545,Dia-544,Dia-543,Dia-542,Dia-541,Dia-540,Dia-539,Dia-538,Dia-537,Dia-536,Dia-535,Dia-534,Dia-533,Dia-532,Dia-531,Dia-530,Dia-529,Dia-528,Dia-527,Dia-526,Dia-525,Dia-524,Dia-523,Dia-522,Dia-521,Dia-520,Dia-519,Dia-518,Dia-517,Dia-516,Dia-515,Dia-514,Dia-513,Dia-512,Dia-511,Dia-510,Dia-509,Dia-508,Dia-507,Dia-506,Dia-505,Dia-504,Dia-503,Dia-502,Dia-501,Dia-500,Dia-499,Dia-498,Dia-497,Dia-496,Dia-495,Dia-494,Dia-493,Dia-492,Dia-491,Dia-490,Dia-489,Dia-488,Dia-487,Dia-486,Dia-485,Dia-484,Dia-483,Dia-482,Dia-481,Dia-480,Dia-479,Dia-478,Dia-477,Dia-476,Dia-475,Dia-474,Dia-473,Dia-472,Dia-471,Dia-470,Dia-469,Dia-468,Dia-467,Dia-466,Dia-465,Dia-464,Dia-463,Dia-462,Dia-461,Dia-460,Dia-459,Dia-458,Dia-457,Dia-456,Dia-455,Dia-454,Dia-453,Dia-452,Dia-451,Dia-450,Dia-449,Dia-448,Dia-447,Dia-446,Dia-445,Dia-444,Dia-443,Dia-442,Dia-441,Dia-440,Dia-439,Dia-438,Dia-437,Dia-436,Dia-435,Dia-434,Dia-433,Dia-432,Dia-431,Dia-430,Dia-429,Dia-428,Dia-427,Dia-426,Dia-425,Dia-424,Dia-423,Dia-422,Dia-421,Dia-420,Dia-419,Dia-418,Dia-417,Dia-416,Dia-415,Dia-414,Dia-413,Dia-412,Dia-411,Dia-410,Dia-409,Dia-408,Dia-407,Dia-406,Dia-405,Dia-404,Dia-403,Dia-402,Dia-401,Dia-400,Dia-399,Dia-398,Dia-397,Dia-396,Dia-395,Dia-394,Dia-393,Dia-392,Dia-391,Dia-390,Dia-389,Dia-388,Dia-387,Dia-386,Dia-385,Dia-384,Dia-383,Dia-382,Dia-381,Dia-380,Dia-379,Dia-378,Dia-377,Dia-376,Dia-375,Dia-374,Dia-373,Dia-372,Dia-371,Dia-370,Dia-369,Dia-368,Dia-367,Dia-366,Dia-365,Dia-364,Dia-363,Dia-362,Dia-361,Dia-360,Dia-359,Dia-358,Dia-357,Dia-356,Dia-355,Dia-354,Dia-353,Dia-352,Dia-351,Dia-350,Dia-349,Dia-348,Dia-347,Dia-346,Dia-345,Dia-344,Dia-343,Dia-342,Dia-341,Dia-340,Dia-339,Dia-338,Dia-337,Dia-336,Dia-335,Dia-334,Dia-333,Dia-332,Dia-331,Dia-330,Dia-329,Dia-328,Dia-327,Dia-326,Dia-325,Dia-324,Dia-323,Dia-322,Dia-321,Dia-320,Dia-319,Dia-318,Dia-317,Dia-316,Dia-315,Dia-314,Dia-313,Dia-312,Dia-311,Dia-310,Dia-309,Dia-308,Dia-307,Dia-306,Dia-305,Dia-304,Dia-303,Dia-302,Dia-301,Dia-300,Dia-299,Dia-298,Dia-297,Dia-296,Dia-295,Dia-294,Dia-293,Dia-292,Dia-291,Dia-290,Dia-289,Dia-288,Dia-287,Dia-286,Dia-285,Dia-284,Dia-283,Dia-282,Dia-281,Dia-280,Dia-279,Dia-278,Dia-277,Dia-276,Dia-275,Dia-274,Dia-273,Dia-272,Dia-271,Dia-270,Dia-269,Dia-268,Dia-267,Dia-266,Dia-265,Dia-264,Dia-263,Dia-262,Dia-261,Dia-260,Dia-259,Dia-258,Dia-257,Dia-256,Dia-255,Dia-254,Dia-253,Dia-252,Dia-251,Dia-250,Dia-249,Dia-248,Dia-247,Dia-246,Dia-245,Dia-244,Dia-243,Dia-242,Dia-241,Dia-240,Dia-239,Dia-238,Dia-237,Dia-236,Dia-235,Dia-234,Dia-233,Dia-232,Dia-231,Dia-230,Dia-229,Dia-228,Dia-227,Dia-226,Dia-225,Dia-224,Dia-223,Dia-222,Dia-221,Dia-220,Dia-219,Dia-218,Dia-217,Dia-216,Dia-215,Dia-214,Dia-213,Dia-212,Dia-211,Dia-210,Dia-209,Dia-208,Dia-207,Dia-206,Dia-205,Dia-204,Dia-203,Dia-202,Dia-201,Dia-200,Dia-199,Dia-198,Dia-197,Dia-196,Dia-195,Dia-194,Dia-193,Dia-192,Dia-191,Dia-190,Dia-189,Dia-188,Dia-187,Dia-186,Dia-185,Dia-184,Dia-183,Dia-182,Dia-181,Dia-180,Dia-179,Dia-178,Dia-177,Dia-176,Dia-175,Dia-174,Dia-173,Dia-172,Dia-171,Dia-170,Dia-169,Dia-168,Dia-167,Dia-166,Dia-165,Dia-164,Dia-163,Dia-162,Dia-161,Dia-160,Dia-159,Dia-158,Dia-157,Dia-156,Dia-155,Dia-154,Dia-153,Dia-152,Dia-151,Dia-150,Dia-149,Dia-148,Dia-147,Dia-146,Dia-145,Dia-144,Dia-143,Dia-142,Dia-141,Dia-140,Dia-139,Dia-138,Dia-137,Dia-136,Dia-135,Dia-134,Dia-133,Dia-132,Dia-131,Dia-130,Dia-129,Dia-128,Dia-127,Dia-126,Dia-125,Dia-124,Dia-123,Dia-122,Dia-121,Dia-120,Dia-119,Dia-118,Dia-117,Dia-116,Dia-115,Dia-114,Dia-113,Dia-112,Dia-111,Dia-110,Dia-109,Dia-108,Dia-107,Dia-106,Dia-105,Dia-104,Dia-103,Dia-102,Dia-101,Dia-100,Dia-99,Dia-98,Dia-97,Dia-96,Dia-95,Dia-94,Dia-93,Dia-92,Dia-91,Dia-90,Dia-89,Dia-88,Dia-87,Dia-86,Dia-85,Dia-84,Dia-83,Dia-82,Dia-81,Dia-80,Dia-79,Dia-78,Dia-77,Dia-76,Dia-75,Dia-74,Dia-73,Dia-72,Dia-71,Dia-70,Dia-69,Dia-68,Dia-67,Dia-66,Dia-65,Dia-64,Dia-63,Dia-62,Dia-61,Dia-60,Dia-59,Dia-58,Dia-57,Dia-56,Dia-55,Dia-54,Dia-53,Dia-52,Dia-51,Dia-50,Dia-49,Dia-48,Dia-47,Dia-46,Dia-45,Dia-44,Dia-43,Dia-42,Dia-41,Dia-40,Dia-39,Dia-38,Dia-37,Dia-36,Dia-35,Dia-34,Dia-33,Dia-32,Dia-31,Dia-30,Dia-29,Dia-28,Dia-27,Dia-26,Dia-25,Dia-24,Dia-23,Dia-22,Dia-21,Dia-20,Dia-19,Dia-18,Dia-17,Dia-16,Dia-15,Dia-14,Dia-13,Dia-12,Dia-11,Dia-10,Dia-9,Dia-8,Dia-7,Dia-6,Dia-5,Dia-4,Dia-3,Dia-2,Dia-1,Clase
,Spain,40.463.667,-374.922,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,13,15,32,45,84,120,165,222,259,400,500,673,1073,1695,2277,2277,5232,6391,7798,9942,11748,13910,17963,20410,25374,28768,35136,39885,49515,57786,65719,73235,80110,87956,95923,104118,112065,119199,126168,131646,136675,141942,148220,153222,158273,163027,166831,170099,172541,177644,184948,190839,191726,198674,200210,204178,208389,213024,202990,205905,207634,209465,210773,212917,213435,215216,216582,217466,218011,219329,220325,221447,222857,223578,224350,227436,228030,228691,229540,230183,230698,230698,231606,232037,232555,233037,234824,235290,235772,235400,236259,236259,237906,238564,239228,239479,239638,239932,240326,240660,240978,241310,241550,241717,241966,242280,242707,243209,243605,243928,244109,244328,244683,245268,245575,245938,246272,246504,246752,247086,247486,247905,248469,248770,248970,249271,249659,250103,250545,250545,250545,251789,252130,252513,253056,253908,253908,253908,255953,256619,257494,258855,260255,260255,260255,264836,266194,267551,270166,272421,272421,272421,278782,280610,282641,285430,288522,288522,288522,297054,302814,305767,309855,314362,314362,314362,322980,326612,329784,337334,342813,342813,342813,359082,364196,370867,377906,386054,386054,386054,405436,412553,419849,429507,439286,439286,439286,462858,470973,479554,488513,498989,498989,498989,525549,534513,543379,554143,566326,566326,566326,593730,603167,614360,625651,640040,640040,640040,671468,682267,693556,704209,716481,716481,716481,748266,748266,769188,778607,789932,789932,789932,813412,825410,835901,848324,861112,861112,861112,888968,896086,908056,921374,936560,936560,936560,974449,988322,1005295,1026281,1046132,1046132,1046132,1098320,1116738,1136503,1160083,1185678,1185678,1185678,1240697,1259366,1284408,1306316,1328832,1328832,1328832,1381218,1381218,1417709,1437220,1458591,1458591,1458591,1496864,1510023,1525341,1541574,1556730,1556730,1556730,1582616,1594844,1605066,1617355,1628208,1628208,1628208,1648187,1656444,1665775,1675902,1684647,1684647,1684647,1702328,1702328,1712101,1720056,1730575,1730575,1730575,1751884,1762212,1773290,1785421,1797236,1797236,1797236,1819249,1829903,1842289,1854951,1854951,1854951,1854951,1879413,1893502,1910218,1928265,1928265,1928265,1928265,1958844,1982544,1982544,2024904,2050360,2050360,2050360,2111782,2137220,2176089,2211967,2252164,2252164,2252164,2336451,2370742,2412318,2456675,2499560,2499560,2499560,2593382,2629817,2670102,2705001,2743119,2743119,2743119,2822805,2851869,2883465,2913425,2941990,2941990,2941990,2989085,3005487,3023601,3041454,3056035,3056035,3056035,3086286,3096343,3107172,3121687,3133122,3133122,3133122,3153971,3161432,3170644,3180212,3188553,3188553,3188553,3204531,3130184,3136321,3142358,3149012,3149012,3149012,3160970,3164982,3172101,3178356,3183704,3183704,3183704,3195062,3200024,3206116,3212332,3212332,3212332,3212332,3228803,3234319,3234319,3247738,3255324,3255324,3255324,3270825,3275819,3284353,3291394,3291394,3300965,3300965,3311325,3317948,3326736,3336637,3347512,3347512,3347512,3370256,3376548,3387022,3396685,3407283,3407283,3407283,3428354,3428354,3446072,3456886,3468617,3468617,3468617,3488469,3496134,3504799,3514942,3524077,3524077,3524077,3540430,3544945,3551262,3559222,3567408,3567408,3567408,3581392,3586333,3592751,3598452,3604799,3604799,3604799,3615860,3619848,3625928,3631661,3636453,3636453,3636453,3647520,3652879,3657886,3663176,3668658,3668658,3668658,3678390,3682778,3687762,3693012,3697981,3697981,3697981,3707523,3711027,3715454,3729458,3733600,3733600,3733600,3741767,3745199,3749031,3753228,3757442,3757442,3757442,3764651,3768691,3773032,3777539,3782463,3782463,3782463,3792642,3799733,3808960,3821305,3833868,3833868,3833868,3866475,3880612,3897996,3915313,3937192,3937192,3937192,3971124,4015084,4041474,4069162,4100222,4100222,4100222,4161850,4189136,4219723,4249258,4280429,4280429,4280429,4342054,4368453,4395602,4422291,4447044,4447044,4447044,4502983,4523310,4545184,4566571,4588132,4588132,4588132,4627770,4643450,4660473,4677883,4693540,4693540,4693540,4719266,4733602,4745558,4758003,4770453,4770453,4770453,4794352,4804424,4815205,4822320,4831809,4831809,4831809,4847298,4855065,4861883,4871444,4877755,4877755,4877755,4887112,4892640,4898258,4903021,4907461,4907461,4907461,4915265,4918526,4922249,4926324,4929546,4929546,4929546,4935534,4937984,4940824,4943855
,Spain,40.463667,-3.74922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,10,17,28,35,54,55,133,195,289,342,533,623,830,1043,1375,1772,2311,2808,3647,4365,5138,5982,6803,7716,8464,9387,10348,11198,11947,12641,13341,14045,14792,15447,16081,16606,17209,17756,18056,18708,19315,20002,20043,20453,20852,21282,21717,22157,22524,22902,23190,23521,23822,24275,24543,24543,25100,25264,25428,25613,25857,26070,26299,26478,26621,26744,26920,27104,27321,27459,27563,27563,27709,27778,27888,27940,28628,28678,28752,26834,27117,27117,27119,27121,27125,27127,27127,27127,27128,27133,27134,27135,27136,27136,27136,27136,27136,27136,27136,27136,27136,27136,27136,27136,28315,28322,28323,28324,28325,28327,28330,28338,28341,28343,28346,28355,28364,28368,28385,28385,28385,28388,28392,28396,28401,28403,28403,28403,28406,28409,28413,28416,28420,28420,28420,28422,28424,28426,28429,28432,28432,28432,28434,28436,28441,28443,28445,28445,28445,28472,28498,28499,28500,28503,28503,28503,28576,28581,28579,28605,28617,28617,28617,28646,28670,28797,28813,28838,28838,28838,28872,28924,28971,28996,29011,29011,29011,29094,29152,29194,29234,29418,29418,29418,29516,29594,29628,29699,29747,29747,29747,29848,30004,30243,30405,30495,30495,30495,30663,30904,31034,31118,31232,31232,31232,31411,31411,31791,31973,32086,32086,32086,32225,32486,32562,32688,32929,32929,32929,33124,33204,33413,33553,33775,33775,33775,33992,34210,34366,34521,34752,34752,34752,35031,35298,35466,35639,35878,35878,35878,36257,36495,38118,38486,38833,38833,38833,39345,39345,40105,40461,40769,40769,40769,41253,41688,42039,42291,42619,42619,42619,43131,43668,44037,44374,44668,44668,44668,45069,45511,45784,46038,46252,46252,46252,46646,46646,47019,47344,47624,47624,47624,48013,48401,48596,48777,48926,48926,48926,49260,49520,49698,49824,49824,49824,49824,50122,50442,50689,50837,50837,50837,50837,51078,51430,51430,51675,51874,51874,51874,52275,52683,52878,53079,53314,53314,53314,53769,54173,54637,55041,55441,55441,55441,56208,56794,57291,57806,58319,58319,58319,59081,59805,60370,60802,61386,61386,61386,62295,63061,63704,64217,64747,64747,64747,65449,65979,66316,66704,67101,67101,67101,67636,68079,68468,68813,69142,69142,69142,69609,69801,70247,70501,71138,71138,71138,71436,71727,71961,72085,72258,72258,72258,72424,72565,72793,72910,72910,72910,72910,73543,73744,73744,74420,75010,75010,75010,75199,75305,75459,75541,75541,75698,75698,75783,75911,76037,76179,76328,76328,76328,76525,76625,76756,76882,76981,76981,76981,77102,77102,77364,77496,77591,77591,77591,77738,77855,77943,78080,78216,78216,78216,78293,78399,78566,78726,78792,78792,78792,78895,79100,79208,79281,79339,79339,79339,79432,79502,79568,79601,79620,79620,79620,79711,79801,79855,79888,79905,79905,79905,79953,79983,80049,80049,80195,80196,80196,80236,80309,80332,80465,80501,80501,80501,80517,80579,80615,80634,80652,80652,80652,80689,80719,80748,80766,80779,80779,80779,80789,80829,80875,80883,80911,80911,80911,80934,80952,80969,80997,81003,81003,81003,81020,81033,81043,81084,81096,81096,81096,81119,81148,81166,81194,81221,81221,81221,81268,81323,81396,81442,81486,81486,81486,81643,81773,81844,81931,82006,82006,82006,82125,82227,82320,82407,82470,82470,82470,82595,82739,82883,83004,83136,83136,83136,83337,83527,83690,83861,84000,84000,84000,84146,84340,84472,84640,84795,84795,84795,84928,85066,85147,85218,85290,85290,85290,85393,85548,85638,85739,85783,85783,85783,85901,85983,86085,86185
